,symbol,price
686,XRPTRY,6.77900000
687,USDTTRY,16.04400000
688,USDTRUB,60.73000000
689,BTCEUR,28633.68000000
690,ETHEUR,1927.86000000
691,BNBEUR,295.20000000
692,XRPEUR,0.40000000
693,EURBUSD,1.05600000
694,EURUSDT,1.05700000
695,OGNBNB,0.00080000
696,OGNBTC,0.00000818
697,OGNUSDT,0.24660000
698,DREPBNB,0.00009380
699,DREPBTC,0.00001867
700,DREPUSDT,0.56590000
701,BULLUSDT,1370.28000000
702,BULLBUSD,1368.56000000
703,BEARUSDT,11.16000000
704,BEARBUSD,11.14000000
705,ETHBULLUSDT,79.18000000
706,ETHBULLBUSD,78.46000000
707,ETHBEARUSDT,12.20000000
708,ETHBEARBUSD,12.24000000
709,TCTBNB,0.00041860
710,TCTBTC,0.00000033
711,TCTUSDT,0.01000000
712,WRXBNB,0.00082900
713,WRXBTC,0.00000858
714,WRXUSDT,0.25800000
715,ICXBUSD,0.36500000
716,BTSUSDT,0.01232000
717,BTSBUSD,0.01930000
718,LSKUSDT,1.16200000
719,BNTUSDT,1.39400000
720,BNTBUSD,1.38700000
721,LTOBNB,0.00248000
722,LTOBTC,0.00000334
723,LTOUSDT,0.10090000
724,ATOMBUSD,11.94000000
725,DASHBUSD,58.70000000
726,NEOBUSD,10.46000000
727,WAVESBUSD,6.04000000
728,XTZBUSD,1.76200000
729,EOSBULLUSDT,3.85000000
730,EOSBULLBUSD,3.90000000
731,EOSBEARUSDT,30.21000000
732,EOSBEARBUSD,29.81000000
733,XRPBULLUSDT,8.74000000
734,XRPBULLBUSD,8.78000000
735,XRPBEARUSDT,548.55000000
736,XRPBEARBUSD,547.33000000
737,BATBUSD,0.39860000
738,ENJBUSD,0.69300000
739,NANOBUSD,2.22500000
740,ONTBUSD,0.27760000
741,RVNBUSD,0.03019000
742,STRATBUSD,0.49150000
743,STRATBNB,0.01900000
744,STRATUSDT,0.49040000
745,AIONBUSD,0.07210000
746,AIONUSDT,0.03400000
747,MBLBNB,0.00001708
748,MBLBTC,0.00000005
749,MBLUSDT,0.00538300
750,COTIBNB,0.00035980
751,COTIBTC,0.00000370
752,COTIUSDT,0.11150000
753,ALGOBUSD,0.44600000
754,BTTBUSD,0.00277800
755,TOMOBUSD,0.56400000
756,XMRBUSD,176.80000000
757,ZECBUSD,106.50000000
758,BNBBULLUSDT,57.21000000
759,BNBBULLBUSD,58.37000000
760,BNBBEARUSDT,58.61000000
761,BNBBEARBUSD,57.21000000
762,STPTBNB,0.00067000
763,STPTBTC,0.00000155
764,STPTUSDT,0.04703000
765,BTCZAR,857014.00000000
766,ETHZAR,27850.40000000
767,BNBZAR,5000.00000000
768,USDTZAR,14.02300000
769,BUSDZAR,13.88800000
770,BTCBKRW,42029197.00000000
771,ETHBKRW,1277799.00000000
772,BNBBKRW,44687.00000000
773,WTCUSDT,0.20330000
774,DATABUSD,0.03740000
775,DATAUSDT,0.03742000
776,XZCUSDT,4.44600000
777,SOLBNB,0.16700000
778,SOLBTC,0.00172280
779,SOLUSDT,52.11000000
780,SOLBUSD,52.06000000
781,BTCIDRT,693891182.00
782,BNBIDRT,4286985.00
783,USDTIDRT,14697.00
784,BUSDIDRT,14389.00
785,CTSIBTC,0.00000628
786,CTSIUSDT,0.19030000
787,CTSIBNB,0.00061000
788,CTSIBUSD,0.18990000
789,HIVEBNB,0.00429000
790,HIVEBTC,0.00001615
791,HIVEUSDT,0.48850000
792,CHRBNB,0.00070020
793,CHRBTC,0.00000722
794,CHRUSDT,0.21840000
795,BTCUPUSDT,16.89200000
796,BTCDOWNUSDT,0.02152100
797,GXSUSDT,1.79230000
798,ARDRUSDT,0.11130000
799,ERDBUSD,0.01966100
800,LENDUSDT,0.51431000
801,HBARBUSD,0.10320000
802,MATICBUSD,0.66100000
803,WRXBUSD,0.25800000
804,ZILBUSD,0.05181000
805,MDTBNB,0.00073720
806,MDTBTC,0.00000117
807,MDTUSDT,0.03512000
808,STMXBTC,0.00000032
809,STMXETH,0.00000466
810,STMXUSDT,0.00946000
811,KNCBUSD,2.71500000
812,KNCUSDT,2.71500000
813,REPBUSD,13.67300000
814,REPUSDT,7.26000000
815,LRCBUSD,0.49460000
816,LRCUSDT,0.49500000
817,IQBNB,0.00002243
818,IQBUSD,0.00570000
819,PNTBTC,0.00000761
820,PNTUSDT,0.22970000
821,BTCGBP,24250.29000000
822,ETHGBP,1632.63000000
823,XRPGBP,0.33950000
824,BNBGBP,250.00000000
825,GBPBUSD,1.24700000
826,DGBBTC,0.00000040
827,DGBBUSD,0.01231000
828,BTCUAH,1080695.00000000
829,USDTUAH,35.75000000
830,COMPBTC,0.00222000
831,COMPBNB,5.71900000
832,COMPBUSD,67.00000000
833,COMPUSDT,67.10000000
834,BTCBIDR,443735193.00
835,ETHBIDR,29870952.00
836,BNBBIDR,4583676.00
837,BUSDBIDR,14696.00
838,USDTBIDR,14686.00
839,BKRWUSDT,0.00084530
840,BKRWBUSD,0.00084550
841,SCUSDT,0.00522000
842,ZENUSDT,20.64000000
843,SXPBTC,0.00001530
844,SXPBNB,0.00148300
845,SXPBUSD,0.46200000
846,SNXBTC,0.00008830
847,SNXBNB,0.00852000
848,SNXBUSD,2.66800000
849,SNXUSDT,2.66900000
850,ETHUPUSDT,9.47300000
851,ETHDOWNUSDT,1.23270000
852,ADAUPUSDT,1.65700000
853,ADADOWNUSDT,0.00900800
854,LINKUPUSDT,0.01672000
855,LINKDOWNUSDT,0.02488000
856,VTHOBNB,0.00000665
857,VTHOBUSD,0.00071800
858,VTHOUSDT,0.00207700
859,DCRBUSD,16.03500000
860,DGBUSDT,0.01233000
861,GBPUSDT,1.24700000
862,STORJBUSD,0.56100000
863,SXPUSDT,0.46300000
864,IRISBNB,0.00166200
865,IRISBTC,0.00000080
866,IRISBUSD,0.06080000
867,MKRBNB,6.90300000
868,MKRBTC,0.04776000
869,MKRUSDT,1444.00000000
870,MKRBUSD,1444.00000000
871,DAIBNB,0.04876000
872,DAIBTC,0.00008966
873,DAIUSDT,1.01890000
874,DAIBUSD,1.01810000
875,RUNEBNB,0.00969000
876,RUNEBTC,0.00010010
877,RUNEBUSD,3.02200000
878,MANABUSD,1.11910000
879,DOGEBUSD,0.08650000
880,LENDBUSD,0.51530000
881,ZRXBUSD,0.45860000
882,DCRUSDT,38.20000000
883,STORJUSDT,0.56110000
884,XRPBKRW,319.76000000
885,ADABKRW,327.55000000
886,BTCAUD,42835.96000000
887,ETHAUD,2883.84000000
888,AUDBUSD,0.70530000
889,FIOBNB,0.00017080
890,FIOBTC,0.00000175
891,FIOBUSD,0.05290000
892,BNBUPUSDT,59.28000000
893,BNBDOWNUSDT,0.05762000
894,XTZUPUSDT,0.00255100
895,XTZDOWNUSDT,2.60010000
896,AVABNB,0.00245000
897,AVABTC,0.00002525
898,AVABUSD,0.76400000
899,USDTBKRW,1125.00000000
900,BUSDBKRW,1097.18000000
901,IOTABUSD,0.33320000
902,MANAUSDT,1.11980000
903,XRPAUD,0.59850000
